model,hidden_dim,num_layers,kernel_size,dropout,lr,label_weight,val_loss,AUPR
cnn,128,2,17,0.3,0.001,"(0.228, 5.802)",0.19364123046398163,0.5186809582614135
cnn,256,2,13,0.3,0.001,"(0.78324, 8.46187)",0.30792897939682007,0.5185592177550176
cnn,128,2,13,0.3,0.001,"(0.3865, 8.46187)",0.27632758021354675,0.5171468103893905
cnn,256,2,17,0.1,0.001,"(0.69317, 24.61498)",0.8236312866210938,0.5147701827934303
cnn,256,2,13,0.2,0.001,"(0.69317, 24.61498)",0.8582921028137207,0.5146728615852587
cnn,128,2,13,0.1,0.001,"(0.69317, 24.61498)",0.8538432121276855,0.5146520542332718
cnn,128,2,15,0.3,0.001,"(0.78324, 8.46187)",0.282760351896286,0.5146165599822431
cnn,128,2,15,0.3,0.001,"(0.228, 5.802)",0.19910164177417755,0.5141932262719245
cnn,256,2,15,0.2,0.0005,"(0.78324, 8.46187)",0.29670703411102295,0.5141359446104387
cnn,128,2,13,0.1,0.001,"(0.3865, 8.46187)",0.2978920638561249,0.5136344604868717
cnn,256,2,15,0.1,0.001,"(0.78324, 8.46187)",0.2891277074813843,0.5136151302439257
cnn,256,2,15,0.2,0.001,"(0.78324, 8.46187)",0.3119657635688782,0.5131746198927989
cnn,256,2,13,0.1,0.001,"(0.228, 5.802)",0.18823552131652832,0.5127149756876891
cnn,256,2,13,0.1,0.001,"(0.78324, 8.46187)",0.312124103307724,0.5123524579374421
cnn,256,2,15,0.2,0.0005,"(0.228, 5.802)",0.1925627440214157,0.5123419591923728
cnn,128,2,15,0.3,0.001,"(0.69317, 24.61498)",0.8555121421813965,0.5122989683651785
cnn,256,2,15,0.2,0.001,"(0.69317, 24.61498)",0.8207140564918518,0.5120578880107677
cnn,128,2,13,0.3,0.001,"(0.228, 5.802)",0.20293474197387695,0.5120315913350432
cnn,256,2,17,0.3,0.001,"(0.69317, 24.61498)",0.7881633639335632,0.511900403360826
cnn,256,2,13,0.2,0.001,"(0.228, 5.802)",0.19546853005886078,0.5118786597839691
cnn,256,2,17,0.2,0.001,"(0.228, 5.802)",0.19490890204906464,0.5116925474716857
cnn,128,2,13,0.2,0.001,"(0.228, 5.802)",0.19960826635360718,0.51158388973156
cnn,256,2,13,0.2,0.0005,"(0.78324, 8.46187)",0.2820405662059784,0.5108477928458293
cnn,256,2,15,0.3,0.0005,"(0.78324, 8.46187)",0.2908329665660858,0.5105662608758158
cnn,256,2,17,0.1,0.0005,"(0.228, 5.802)",0.1809820681810379,0.5102660431347267
cnn,256,2,15,0.3,0.0005,"(0.228, 5.802)",0.1951342076063156,0.5098960277239319
cnn,128,2,13,0.1,0.001,"(0.78324, 8.46187)",0.2979550361633301,0.5098492392542475
cnn,256,2,15,0.3,0.001,"(0.69317, 24.61498)",0.797936737537384,0.5095661610086551
cnn,256,2,15,0.1,0.0005,"(0.78324, 8.46187)",0.27280208468437195,0.5092060957970151
cnn,128,2,13,0.2,0.001,"(0.78324, 8.46187)",0.29542869329452515,0.509096343458591
cnn,128,2,17,0.2,0.001,"(0.69317, 24.61498)",0.8908942341804504,0.5087266682376942
cnn,128,2,15,0.1,0.001,"(0.3865, 8.46187)",0.2951247990131378,0.508620300689604
cnn,256,2,17,0.2,0.001,"(0.228, 5.802)",0.1882261484861374,0.5081388908048663
cnn,256,2,17,0.2,0.0005,"(0.228, 5.802)",0.198489710688591,0.5079193238379195
cnn,256,2,15,0.2,0.0005,"(0.69317, 24.61498)",0.7623869776725769,0.5078054495961094
cnn,256,2,15,0.1,0.001,"(0.228, 5.802)",0.19832085072994232,0.5077753989287389
cnn,128,2,13,0.3,0.001,"(0.69317, 24.61498)",0.8406307101249695,0.5074427901931731
cnn,256,2,17,0.3,0.0005,"(0.228, 5.802)",0.1814953088760376,0.5073864122653394
cnn,128,2,17,0.1,0.001,"(0.78324, 8.46187)",0.2982194721698761,0.507359667044755
cnn,128,2,13,0.2,0.001,"(0.3865, 8.46187)",0.3076315224170685,0.5071211436264919
cnn,128,2,15,0.1,0.001,"(0.69317, 24.61498)",0.8702861666679382,0.507111994407943
cnn,256,2,15,0.3,0.001,"(0.78324, 8.46187)",0.3078349530696869,0.5067422423014198
cnn,128,2,15,0.1,0.001,"(0.228, 5.802)",0.20959657430648804,0.5065045836883157
cnn,256,2,13,0.2,0.0005,"(0.228, 5.802)",0.19112689793109894,0.5054257816902162
cnn,128,2,17,0.3,0.001,"(0.78324, 8.46187)",0.30272823572158813,0.5053645821310144
cnn,256,2,17,0.3,0.001,"(0.78324, 8.46187)",0.29754212498664856,0.5053313696155471
cnn,256,2,13,0.1,0.0005,"(0.69317, 24.61498)",0.8145197033882141,0.505249425270247
cnn,256,2,13,0.2,0.0005,"(0.69317, 24.61498)",0.7889212965965271,0.5051188558233689
cnn,128,2,17,0.3,0.001,"(0.69317, 24.61498)",0.7917973399162292,0.5050398367684875
cnn,256,2,13,0.1,0.0005,"(0.228, 5.802)",0.20060540735721588,0.5047649173807699
cnn,256,2,13,0.3,0.0005,"(0.228, 5.802)",0.19791416823863983,0.5046858240604607
cnn,128,2,15,0.2,0.001,"(0.78324, 8.46187)",0.2980800271034241,0.5045481597051044
cnn,256,2,17,0.2,0.0005,"(0.69317, 24.61498)",0.7799427509307861,0.50452109404813
cnn,256,2,17,0.3,0.0005,"(0.78324, 8.46187)",0.2943473160266876,0.504354536387749
cnn,256,2,15,0.3,0.001,"(0.228, 5.802)",0.17639124393463135,0.504338691063093
cnn,256,2,15,0.1,0.0005,"(0.69317, 24.61498)",0.7710707783699036,0.5034390858453771
cnn,128,2,17,0.2,0.001,"(0.228, 5.802)",0.19135569036006927,0.5032001239556163
