model,hidden_dim,num_layers,num_heads,dropout,lr,label_weight,val_loss,AUPR
transformer,128,2,4,0.2,0.0007585775750291836,"(0.78324, 8.46187)",0.15276683866977692,0.5488004665017615
transformer,128,3,4,0.1,0.0007585775750291836,"(0.228, 5.802)",0.08880320936441422,0.5396520473439357
transformer,256,2,4,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.2006068229675293,0.5395742962940321
transformer,256,2,4,0.1,0.001,"(0.78324, 8.46187)",0.17917907238006592,0.5387482063878954
transformer,128,2,2,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.17255552113056183,0.5378948499179962
transformer,256,2,4,0.1,0.0007585775750291836,"(0.228, 5.802)",0.11062753200531006,0.5377929798356025
transformer,256,2,2,0.1,0.001,"(0.69317, 24.61498)",0.479371041059494,0.5371582844305479
transformer,128,2,4,0.3,0.0007585775750291836,"(0.78324, 8.46187)",0.1453356146812439,0.5367720856483561
transformer,256,2,4,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.4046146869659424,0.5359076617856917
transformer,128,3,4,0.2,0.0007585775750291836,"(0.78324, 8.46187)",0.13178326189517975,0.5356834096644256
transformer,128,2,2,0.1,0.001,"(0.228, 5.802)",0.1019677147269249,0.535437924974919
transformer,256,2,4,0.1,0.001,"(0.69317, 24.61498)",0.41398608684539795,0.5352195933738629
transformer,128,2,4,0.1,0.001,"(0.78324, 8.46187)",0.15628395974636078,0.5344786248094335
transformer,128,2,2,0.3,0.001,"(0.78324, 8.46187)",0.1296241730451584,0.5341455930569432
transformer,128,3,4,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.14787454903125763,0.5335594403953757
transformer,128,2,2,0.2,0.001,"(0.78324, 8.46187)",0.16338710486888885,0.5331322760696592
transformer,128,2,4,0.2,0.001,"(0.78324, 8.46187)",0.14064548909664154,0.5327209537181996
transformer,256,3,2,0.1,0.001,"(0.228, 5.802)",0.09946653991937637,0.5315770900344922
transformer,128,2,2,0.2,0.0007585775750291836,"(0.78324, 8.46187)",0.1578977257013321,0.5315213477012849
transformer,128,2,4,0.1,0.001,"(0.69317, 24.61498)",0.3752843141555786,0.5313963339610254
transformer,256,2,4,0.1,0.001,"(0.69317, 24.61498)",0.4345571994781494,0.5311360941398924
transformer,256,3,2,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.19680261611938477,0.5304478664344097
transformer,128,2,4,0.3,0.0007585775750291836,"(0.228, 5.802)",0.0844692811369896,0.5302993015199658
transformer,128,2,4,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.16626349091529846,0.5298259753351856
transformer,128,2,4,0.1,0.0007585775750291836,"(0.228, 5.802)",0.10084875673055649,0.5296627124853556
transformer,128,2,2,0.1,0.0007585775750291836,"(0.228, 5.802)",0.09416911751031876,0.5295488859057119
transformer,128,3,2,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.1459525227546692,0.5294388068114824
transformer,128,2,2,0.1,0.001,"(0.69317, 24.61498)",0.37409520149230957,0.5293813210262468
transformer,64,3,4,0.1,0.001,"(0.78324, 8.46187)",0.12559373676776886,0.529323328522246
transformer,128,2,4,0.3,0.001,"(0.78324, 8.46187)",0.13360761106014252,0.5292741186575508
