Accession	Evidence	ChEBI-ID	Position
Q8INK9	ECO:0000269	CHEBI:29105	157
Q8INK9	ECO:0000269	CHEBI:29105	96
Q1QT89	ECO:0000269	CHEBI:18420	263
P07327	ECO:0000269	CHEBI:29105	101
P07327	ECO:0007744	CHEBI:29105	104
U3KRG1	ECO:0007744	CHEBI:29105	147
P28039	ECO:0000269	CHEBI:29108	227
Q8TXW1	ECO:0000269	CHEBI:29105	163
B8LIX8	ECO:0000269	CHEBI:29108	35
P14151	ECO:0007744	CHEBI:29108	144
Q60365	ECO:0000269	CHEBI:18420	39
P40136	ECO:0000269	CHEBI:18420	491
A0A0H2UMY0	ECO:0000269	CHEBI:29105	247
O64332	ECO:0000269	CHEBI:49883	228
Q6TEC1	ECO:0000269	CHEBI:29035	150
P24289	ECO:0000269	CHEBI:60240	153
I6Y4D2	ECO:0007744	CHEBI:29105	70
I6XD65	ECO:0000269	CHEBI:24875	49
P04718	ECO:0000269	CHEBI:18420	194
Q07008	ECO:0007744	CHEBI:29108	452
Q07008	ECO:0007744	CHEBI:29108	453
P05187	ECO:0000269	CHEBI:29105	64
P05187	ECO:0000269	CHEBI:18420	333
P08839	ECO:0000269	CHEBI:18420	431
P63100	ECO:0007744	CHEBI:29108	152
P63100	ECO:0000269	CHEBI:29108	74
P0AAB4	ECO:0000269	CHEBI:29035	175
A0A0H3KB22	ECO:0000269	CHEBI:49883	49
O43570	ECO:0000269	CHEBI:29105	119
Q9A6Q5	ECO:0007744	CHEBI:49883	564
P71403	ECO:0007744	CHEBI:18420	55
P12815	ECO:0007744	CHEBI:29108	109
P05803	ECO:0000269	CHEBI:29108	348
P40136	ECO:0007744	CHEBI:18420	493
Q9LVH4	ECO:0000269	CHEBI:29108	86
P21327	ECO:0000269	CHEBI:18420	155
O57413	ECO:0007744	CHEBI:29105	337
D4GTL2	ECO:0000269	CHEBI:18420	192
P12821	ECO:0000269	CHEBI:29105	414
Q8IZD2	ECO:0000269	CHEBI:29105	160
Q9UKF6	ECO:0000269	CHEBI:29105	158
Q9UMR7	ECO:0007744	CHEBI:29108	145
P62617	ECO:0007744	CHEBI:60240	10
P0AB83	ECO:0007744	CHEBI:49883	203
P81186	ECO:0007744	CHEBI:49883	79
P80025	ECO:0000269	CHEBI:29108	303
Q9LVH4	ECO:0007744	CHEBI:29108	93
Q899Y1	ECO:0000269	CHEBI:29105	465
P63100	ECO:0000269	CHEBI:29108	42
P63100	ECO:0007744	CHEBI:29108	42
Q9UPY3	ECO:0007744	CHEBI:18420	1810
Q9UPY3	ECO:0000269	CHEBI:18420	1810
P19793	ECO:0000269	CHEBI:29105	152
Q3YW59	ECO:0000269	CHEBI:18420	628
Q9F8A8	ECO:0000269	CHEBI:177874	333
E0VIU9	ECO:0007744	CHEBI:29105	454
E0VIU9	ECO:0007744	CHEBI:29105	202
E0VIU9	ECO:0000269	CHEBI:29105	216
E0VIU9	ECO:0000269	CHEBI:29105	334
E0VIU9	ECO:0000269	CHEBI:29105	361
E0VIU9	ECO:0007744	CHEBI:29105	167
C0KTJ6	ECO:0000269	CHEBI:18420	254
